,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,mean_rank,average_similarity,threshold
0,0.09333333373069763,0.14666666090488434,0.1666666716337204,0.18666666746139526,0.2199999988079071,0.4266666769981384,0.5400000214576721,0.8600000143051147,0.9866666793823242,25.566667556762695,0.9154310822486877,
1,0.08666666597127914,0.14000000059604645,0.1599999964237213,0.18000000715255737,0.2133333384990692,0.41999998688697815,0.5266666412353516,0.8266666531562805,0.9133333563804626,25.566667556762695,0.9154310822486877,0.8
2,0.08666666597127914,0.14000000059604645,0.1599999964237213,0.18000000715255737,0.2133333384990692,0.41999998688697815,0.5266666412353516,0.8199999928474426,0.8999999761581421,25.566667556762695,0.9154310822486877,0.8135714285714286
3,0.08666666597127914,0.14000000059604645,0.1599999964237213,0.18000000715255737,0.2133333384990692,0.41999998688697815,0.5266666412353516,0.8133333325386047,0.8933333158493042,25.566667556762695,0.9154310822486877,0.8271428571428572
4,0.08666666597127914,0.14000000059604645,0.1599999964237213,0.18000000715255737,0.2133333384990692,0.41333332657814026,0.5199999809265137,0.800000011920929,0.8799999952316284,25.566667556762695,0.9154310822486877,0.8407142857142857
5,0.08666666597127914,0.14000000059604645,0.1599999964237213,0.18000000715255737,0.2133333384990692,0.41333332657814026,0.5066666603088379,0.7733333110809326,0.8333333134651184,25.566667556762695,0.9154310822486877,0.8542857142857143
6,0.07999999821186066,0.13333334028720856,0.15333333611488342,0.1733333319425583,0.20666666328907013,0.3933333456516266,0.4866666793823242,0.746666669845581,0.7933333516120911,25.566667556762695,0.9154310822486877,0.8678571428571429
7,0.07999999821186066,0.13333334028720856,0.15333333611488342,0.1733333319425583,0.20666666328907013,0.3866666555404663,0.47333332896232605,0.7133333086967468,0.7599999904632568,25.566667556762695,0.9154310822486877,0.8814285714285715
8,0.07999999821186066,0.13333334028720856,0.15333333611488342,0.1733333319425583,0.20666666328907013,0.3799999952316284,0.46000000834465027,0.6866666674613953,0.7266666889190674,25.566667556762695,0.9154310822486877,0.895
9,0.07999999821186066,0.11999999731779099,0.14000000059604645,0.1599999964237213,0.19333332777023315,0.35333332419395447,0.41999998688697815,0.6133333444595337,0.6266666650772095,25.566667556762695,0.9154310822486877,0.9085714285714286
10,0.07999999821186066,0.11999999731779099,0.14000000059604645,0.1599999964237213,0.18666666746139526,0.3466666638851166,0.41333332657814026,0.6066666841506958,0.6133333444595337,25.566667556762695,0.9154310822486877,0.9221428571428572
11,0.07999999821186066,0.11999999731779099,0.14000000059604645,0.1599999964237213,0.1733333319425583,0.30000001192092896,0.36666667461395264,0.5133333206176758,0.5133333206176758,25.566667556762695,0.9154310822486877,0.9357142857142857
12,0.07333333045244217,0.1066666692495346,0.12666666507720947,0.14666666090488434,0.1599999964237213,0.24666666984558105,0.2800000011920929,0.3799999952316284,0.3799999952316284,25.566667556762695,0.9154310822486877,0.9492857142857143
13,0.06666667014360428,0.10000000149011612,0.1133333370089531,0.13333334028720856,0.13333334028720856,0.20000000298023224,0.2199999988079071,0.2800000011920929,0.2800000011920929,25.566667556762695,0.9154310822486877,0.9628571428571429
14,0.0533333346247673,0.06666667014360428,0.06666667014360428,0.07999999821186066,0.07999999821186066,0.14000000059604645,0.14666666090488434,0.15333333611488342,0.15333333611488342,25.566667556762695,0.9154310822486877,0.9764285714285714
15,0.019999999552965164,0.02666666731238365,0.02666666731238365,0.02666666731238365,0.02666666731238365,0.02666666731238365,0.02666666731238365,0.02666666731238365,0.02666666731238365,25.566667556762695,0.9154310822486877,0.99
