,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_10,recall_at_20,mean_rank,average_similarity,threshold
0,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,
1,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.65
2,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.6642857142857143
3,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.6785714285714286
4,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.6928571428571428
5,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.7071428571428572
6,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.7214285714285714
7,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.7357142857142858
8,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3916349709033966,25.244897842407227,0.8043157458305359,0.75
9,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2167300432920456,0.3878327012062073,25.244897842407227,0.8043157458305359,0.7642857142857142
10,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.21292775869369507,0.3764258623123169,25.244897842407227,0.8043157458305359,0.7785714285714286
11,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.20532318949699402,0.3612167239189148,25.244897842407227,0.8043157458305359,0.7928571428571428
12,0.08163265138864517,0.14606741070747375,0.13821138441562653,0.12101911008358002,0.14659686386585236,0.2015209197998047,0.330798476934433,25.244897842407227,0.8043157458305359,0.8071428571428572
13,0.08163265138864517,0.12359550595283508,0.12195122241973877,0.1082802563905716,0.13089005649089813,0.16730037331581116,0.2851710915565491,25.244897842407227,0.8043157458305359,0.8214285714285714
14,0.08163265138864517,0.12359550595283508,0.11382114142179489,0.09554140269756317,0.12041884660720825,0.14828898012638092,0.23574145138263702,25.244897842407227,0.8043157458305359,0.8357142857142856
15,0.08163265138864517,0.11235955357551575,0.10569106042385101,0.08917197585105896,0.11518324911594391,0.13688212633132935,0.20532318949699402,25.244897842407227,0.8043157458305359,0.85
